PlayerName,Born,Height,Hand,LinkPlayer
Novak Djokovic,"Belgrade, Serbia",188.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/novak-djokovic/d643/player-activity?year=all&matchType=Singles
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles
Louis Cant,,,,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles
Philipp Scholz,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/philipp-scholz/su09/player-activity?year=all&matchType=Singles
Thomas Schoorel,"Amsterdam, Netherlands",203.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/thomas-schoorel/sj63/player-activity?year=all&matchType=Singles
Rafael Mazon-Hernandez,,,,https://www.atptour.com/en/players/rafael-mazon-hernandez/mi75/player-activity?year=all&matchType=Singles
Olaf De Weerdt,,,,https://www.atptour.com/en/players/olaf-de-weerdt/d809/player-activity?year=all&matchType=Singles
Simon Ede,,,,https://www.atptour.com/en/players/simon-ede/e804/player-activity?year=all&matchType=Singles
Simon Stevens,,,,https://www.atptour.com/en/players/simon-stevens/sr01/player-activity?year=all&matchType=Singles
Simon Friis Soendergaard,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/simon-friis-soendergaard/st99/player-activity?year=all&matchType=Singles
Lofo Ramiaramanana,Toamasina,175.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/lofo-ramiaramanana/r964/player-activity?year=all&matchType=Singles
Stieg Martens,,,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/stieg-martens/mq72/player-activity?year=all&matchType=Singles
Dominik Schulz,"Munich, Germany",,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/dominik-schulz/sm14/player-activity?year=all&matchType=Singles
Richard Waite,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/richard-waite/w555/player-activity?year=all&matchType=Singles
Sebastian Lavie,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/sebastian-lavie/lb69/player-activity?year=all&matchType=Singles
Jannis Liniger,Singapore,191.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jannis-liniger/lb25/player-activity?year=all&matchType=Singles
Joachim Bjerke,"Oslo, Norway",178.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/joachim-bjerke/bm15/player-activity?year=all&matchType=Singles
