PlayerName,Oponent,Tournament,GroundNumerico,Prize,TournamentYear,NumeroSets,DiffIMC,DiffAge,DiffRank,QTDBelgas,Finals,SumMainHand,SumTrainer,TipoTorneio
Novak Djokovic,Olivier Rochus,BEL vs. SRB WG 1st RD,1,0,2013,3,-1.2441693895001826,-6,-23.0,1,0,2,2,Melhor_de_5
Sebastien Grosjean,Olivier Rochus,BEL v FRA WG Rd 1,1,0,2001,5,0.8066893424036259,3,-20.0,1,0,2,2,Melhor_de_5
Andrei Pavel,Olivier Rochus,Mons,2,125000,2007,2,3.8444507517241355,7,-11.0,1,1,2,1,Melhor_de_3
Andy Roddick,Olivier Rochus,BEL vs. USA WG PO,1,0,2005,5,1.8680986050674981,-1,-23.0,1,0,2,2,Melhor_de_5
Christophe Rochus,Olivier Rochus,Ostend,1,125000,1999,3,0.4993664132319573,3,15.0,2,0,2,2,Melhor_de_3
Josselin Ouanna,Olivier Rochus,Mons,2,148544,2009,3,1.4001406937890337,-5,64.0,1,0,2,2,Melhor_de_3
Marc Gicquel,Olivier Rochus,Mons,2,141445,2013,3,-1.8100362976033963,4,13.0,1,0,2,2,Melhor_de_3
Lleyton Hewitt,Olivier Rochus,BEL v. AUS WG 1st RD,1,0,2007,5,1.2724417082407555,0,-23.0,1,0,2,2,Melhor_de_5
Matwe Middelkoop,Olivier Rochus,Bercuit,1,54604,2012,2,0.2697545443622609,-2,-3.0,1,0,2,2,Melhor_de_3
Julien Cagnina,Olivier Rochus,Belgium F8,1,10000,2014,2,-1.530448468915477,-13,215.0,1,1,2,1,Melhor_de_3
Reginald Willems,Olivier Rochus,Belgium F2,1,15000,1998,2,1.044028722600146,4,385.0,2,0,2,2,Melhor_de_3
Agustin Garizzio,Olivier Rochus,Belgium F2,1,15000,1999,3,-1.700607805820166,11,897.0,1,0,2,1,Melhor_de_3
Kalle Flygt,Olivier Rochus,Belgium F1,1,15000,1998,3,-0.23968742598086834,5,377.0,1,0,2,1,Melhor_de_3
Lars Burgsmuller,Olivier Rochus,Charleroi,3,100000,2000,2,-1.2318429566577223,6,37.0,1,1,2,2,Melhor_de_3
Wayne Black,Olivier Rochus,BEL v. ZIM EAGI 2nd Rd.,1,0,2004,5,1.1914079357233085,8,47.0,1,0,2,2,Melhor_de_5
Kenny De Schepper,Olivier Rochus,Mons,2,136830,2012,3,1.236498364704584,-6,346.0,1,1,1,2,Melhor_de_3
Gerald Melzer,Olivier Rochus,Mons,2,141485,2014,3,-0.3953690273453603,-9,394.0,1,0,1,2,Melhor_de_3
Philipp Kohlschreiber,Olivier Rochus,BEL v. GER WG Qtrs,1,0,2007,3,-0.9368752971878536,-2,-8.0,1,0,2,2,Melhor_de_5
Constant Lestienne,Olivier Rochus,Belgium F9,1,10000,2014,2,0.7353867472915034,-11,38.0,1,1,2,1,Melhor_de_3
Teymuraz Gabashvili,Olivier Rochus,Mons,2,156635,2008,3,2.38996925772987,-4,398.656512605042,1,1,2,1,Melhor_de_3
Janko Tipsarevic,Olivier Rochus,Mons,2,125000,2006,2,1.6613126732174308,-3,-16.0,1,1,2,2,Melhor_de_3
Igor Sijsling,Olivier Rochus,Mons,2,141189,2010,2,0.2697545443622609,-6,496.0,1,0,2,2,Melhor_de_3
David Goffin,Olivier Rochus,Mons,2,148243,2011,3,-1.4251070798689902,-9,71.0,2,0,2,2,Melhor_de_3
Jurgen Melzer,Olivier Rochus,BEL vs AUT WG Play-Off,2,0,2011,3,0.8583956291465711,0,-16.0,1,0,1,2,Melhor_de_5
Rafael Nadal,Olivier Rochus,BEL vs. ESP WG 1st RD,2,0,2011,2,1.8056011057941497,-5,-10.0,1,0,1,2,Melhor_de_3
Romain Bogaerts,Julien Cagnina,Belgium F3,1,10000,2013,3,0.0033456253636892086,1,853.0,0,0,1,1,Melhor_de_3
Nicolas Devilder,Julien Cagnina,Belgium F2,1,10000,2011,2,0.21846920718727958,14,-180.0,0,0,1,1,Melhor_de_3
Nicolas Devilder,Julien Cagnina,Belgium F5,1,10000,2011,3,0.21846920718727958,14,-180.0,0,0,1,1,Melhor_de_3
Dimitar Grabul,Julien Cagnina,Belgium F8,1,10000,2013,3,1.2907610429346086,13,654.0,0,1,2,0,Melhor_de_3
Michael Bois,Julien Cagnina,Belgium F8,1,10000,2012,3,0.2862790794152943,1,343.0,0,0,2,1,Melhor_de_3
Juan Lizariturry,Julien Cagnina,Belgium F1,1,10000,2015,2,1.2907610429346086,3,90.0,0,1,2,0,Melhor_de_3
Joran Vliegen,Julien Cagnina,Belgium F9,1,10000,2013,3,-0.11860403696759292,1,-196.0,1,0,1,1,Melhor_de_3
Joran Vliegen,Julien Cagnina,Belgium F8,2,15000,2015,3,-0.11860403696759292,1,-196.0,1,1,1,1,Melhor_de_3
Richard Becker,Julien Cagnina,Belgium F10,1,10000,2014,2,1.2907610429346086,3,97.0,0,1,2,0,Melhor_de_3
Matwe Middelkoop,Julien Cagnina,Belgium F3,1,10000,2011,2,1.8002030132777378,11,-218.0,0,0,2,1,Melhor_de_3
Andreas Haider-Maurer,Julien Cagnina,Mons,2,141485,2014,2,2.8966641848465002,7,-192.0,0,0,2,1,Melhor_de_3
Sander Gille,Julien Cagnina,Belgium F10,1,10000,2013,3,0.4142088150310279,3,-197.0,1,0,2,1,Melhor_de_3
Jonathan Eysseric,Julien Cagnina,Belgium F7,1,10000,2012,2,3.1917611421329077,4,666.0,0,1,1,1,Melhor_de_3
Zsombor Piros,Julien Cagnina,BEL vs. HUN WG 1st RD,2,0,2018,2,-0.5119425615707982,-5,-121.0,0,0,2,1,Melhor_de_3
