Taxas de câmbio de referência do Euro e Direito de Saque Especial ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Última atualização: (ver última linha);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1-Para uma correta leitura deste ficheiro o separador de casas decimais deve ser o ponto (.) e o separador de listas (colunas) deve ser o ponto e virgula (;)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2-A utilização destes valores deve ser complementada com a leitura das notas constantes nas páginas de Internet correspondentes em www.bportugal.pt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período (Dias Úteis);Dólar australiano;Lev da Bulgária;Dólar canadiano;Franco suíço;Libra de Chipre;Coroa checa;Coroa dinamarquesa;Coroa Estónia;Libra esterlina;Dracma grega;Dólar de Hong Kong;Forint húngaro;Coroa islandesa;Iene japonês ;Won da Coreia do Sul ;Litas da Lituana ;Lats da Letão ;Lira maltesa ;Coroa norueguesa ;Dólar da Nova Zelândia ;Zloti polaco ;Novo Leu da Roménia ;Coroa sueca ;Dólar de Singapura ;Tolar esloveno ;Coroa eslovaca ;Nova Lira turca ;Dólar dos Estados Unidos ;Rand da África do Sul ;Real do Brasil ;Escudo de Cabo Verde ;Pataca de Macau ;Direito de Saque Especial ;Yuan renmimbi da China ;Kuna Croata ;Rupia indonésia ;Ringgit da Malásia ;Peso filipino ;Rublo russo ;Baht da Tailândia ;Peso Mexicano ;Rupia indiana ;Shequel de Israel 
1999-01-04;1.91;-;1.8004;1.6168;0.58231;35.107;7.4501;15.6466;0.7111;327.15;9.1332;251.48;81.48;133.73;1398.59;4.717;0.6668;0.4432;8.855;2.2229;4.0712;13111.0;9.4696;1.9554;189.045;42.991;372274.0;1.1789;6.9358;1.4238;110.265;9.4067;1.19679;-;-;9433.61;4.4798;45.51;25.2875;42.6799;-;-;-
1999-01-05;1.8944;-;1.7965;1.6123;0.5823;34.917;7.4495;15.6466;0.7122;324.7;9.1341;250.8;81.53;130.96;1373.01;4.7174;0.6657;0.4432;8.7745;2.2011;4.0245;13168.0;9.4025;1.9655;188.775;42.848;372816.0;1.179;6.7975;1.4242;110.265;9.4077;1.20125;-;-;9314.51;4.4805;44.745;26.5876;42.5048;-;-;-
1999-01-06;1.882;-;1.7711;1.6116;0.582;34.85;7.4452;15.6466;0.7076;324.72;9.101;250.67;81.54;131.42;1359.54;4.6994;0.6649;0.442;8.7335;2.189;4.0065;13168.0;9.305;1.9699;188.7;42.778;372188.0;1.1743;6.7307;1.4204;110.265;9.3712;1.20388;-;-;9337.68;4.4637;44.872;27.4315;42.6949;-;-;-
1999-01-07;1.8474;-;1.7602;1.6165;0.58187;34.886;7.4431;15.6466;0.70585;324.4;9.0131;250.09;81.06;129.43;1337.16;4.6548;0.6627;0.4413;8.6295;2.1531;4.0165;13092.0;9.18;1.9436;188.8;42.765;370147.0;1.1632;6.8283;1.4074;110.265;9.2831;1.21273;-;-;9218.77;4.4203;44.436;26.9876;42.1678;-;-;-
1999-01-08;1.8406;-;1.7643;1.6138;0.58187;34.938;7.4433;15.6466;0.7094;324.0;9.0302;250.15;80.99;130.09;1366.73;4.6643;0.6654;0.4419;8.59;2.1557;4.0363;13143.0;9.165;1.9537;188.84;42.56;371830.0;1.1659;6.7855;1.4107;110.265;9.3043;1.20736;-;-;9321.63;4.4295;44.295;27.2075;42.559;-;-;-
1999-01-11;1.8134;-;1.7463;1.6104;0.58167;35.173;7.4433;15.6466;0.7044;323.4;8.9655;249.7;80.55;126.33;1356.7;4.6296;0.6586;0.4405;8.5585;2.1257;4.032;12980.0;9.0985;1.9358;188.9655;42.509;372471.0;1.1569;6.791;1.4005;110.265;9.2329;1.22081;-;-;9255.61;4.397;43.565;27.0148;41.9568;-;-;-
1999-01-12;1.809;-;1.7392;1.6072;0.5814;35.25;7.443;15.6466;0.7066;323.8;8.9246;249.2;80.59;129.63;1353.43;4.6088;0.6601;0.4403;8.61;2.121;4.033;12912.0;9.0955;1.9343;189.5352;42.49;372105.0;1.152;6.9581;1.3951;110.265;9.1934;1.21455;-;-;9301.2;4.377;43.656;26.6366;41.985;-;-;-
1999-01-13;1.862;-;1.8123;1.5931;0.5819;36.113;7.4432;15.6466;0.7084;325.65;9.1008;255.01;81.24;131.89;1377.93;4.6986;0.6676;0.4435;8.747;2.1744;4.2033;13149.0;9.14;1.9815;191.2016;42.794;376350.0;1.1744;7.2543;1.5443;110.265;9.3698;1.20017;-;-;10215.59;4.4634;45.573;26.4489;43.4924;-;-;-
1999-01-14;1.8353;-;1.7707;1.5934;0.5819;35.698;7.4437;15.6466;0.7062;325.0;9.0288;253.84;80.93;132.74;1382.23;4.6636;0.6659;0.4414;8.7245;2.157;4.1335;13134.0;9.135;1.9615;188.9441;42.757;375101.0;1.1653;7.1316;1.5295;110.265;9.2984;1.20494;-;-;10081.16;4.4286;44.87;26.5723;43.122;-;-;-
1999-01-15;1.8388;-;1.7797;1.5984;0.58187;35.86;7.4441;15.6466;0.7039;324.95;9.0102;253.34;80.7;131.74;1375.76;4.6516;0.6617;0.4421;8.715;2.1582;4.2;13164.0;9.157;1.957;187.1333;42.738;374193.0;1.1626;7.2197;1.7148;110.265;9.2784;1.21045;-;-;10414.7;4.4172;44.987;26.5662;43.4042;-;-;-
