,Unnamed: 0,PlayerName,Born,Height,Hand,LinkPlayer,Weight,Birt,Rank
757,757,Zane Khan,USA,,right,,,2002-2-11,838.0
758,758,Daniel Elahi Galan,Colombia,191.0,right,,72.0,1996-6-18,67.0
759,759,Nicolas Bruna,Chile,,right,,,1999-1-19,663.0
760,760,Corentin Moutet,France,175.0,left,,68.0,1999-4-19,51.0
761,761,Antonio Muniz Hidalgo,Spain,183.0,right,,70.0,2000-1-18,1550.0
762,762,Gilles De Sousa,France,,right,,,1982-12-29,1097.0
763,763,Lucas Gerch,Germany,193.0,left,,86.0,1994-12-20,278.0
764,764,Thiago Monteiro,Brazil,183.0,left,,78.0,1994-5-31,61.0
765,765,Pablo Carreno Busta,Spain,188.0,right,,78.0,1991-7-12,10.0
766,766,Reilly Opelka,USA,211.0,right,,102.0,1997-8-28,17.0
767,767,Boris Pashanski,Serbia,180.0,right,,74.0,1982-11-3,55.0
768,768,Mathieu Bouwen,Belgium,,right,,,1999-3-26,
769,769,Nathan Eshmade,Australia,191.0,right,,80.0,1994-4-18,978.0
770,770,James Frawley,Australia,183.0,right,,74.0,1994-3-29,606.0
771,771,Hugo Dellien,Bolivia,180.0,right,,75.0,1993-6-16,64.0
772,772,Jeremy Sonkin,USA,188.0,right,,93.0,1986-7-10,821.0
773,773,Alexandre Hebras,France,,right,,,1996-3-26,
774,774,Fabien Reboul,France,,right,,,1995-9-9,45.0
775,775,Tommy Paul,USA,185.0,right,,82.0,1997-5-17,17.0
776,776,Jamie Praditngam,Great Britain,,right,,,1995-3-7,
777,777,Mohammed Reda,Kuwait,,right,,,1994-4-22,
778,778,Jakub Paul,Switzerland,,right,,,1999-3-22,207.0
779,779,Nicolas Jarry,Chile,198.0,right,,90.0,1995-10-11,38.0
780,780,Luca Nardi,Italy,,right,,,2003-8-6,299.0
781,781,Alexander Nonnekes,Netherlands,,right,,,1984-5-12,701.0
782,782,Mathieu Loosvelt,Belgium,,right,,,1995-8-14,
783,783,Roberto Vizcaino,Spain,,right,,,1957-4-25,
784,784,Stan Smith,,,,,,,
785,785,Andres Gimeno,,,,,,,
786,786,Zeljko Franulovic,,,,,,,
787,787,Eduardo Osta,,,,,,,
788,788,Jiri Hrebec,,,,,,,
789,789,Edoardo Mazza,,,,,,,
790,790,Henry Pfister,USA,,right,,,1953-10-9,
791,791,Stefan Simonsson,,,,,,,
792,792,Alfonso Gonzalez,,,,,,,
793,793,Georges Goven,,,,,,,
794,794,Jan Norback,,,,,,,
795,795,Adriano Panatta,,,,,,,
796,796,Thomas Stalhandske,,,,,,,
797,797,Paul Torre,,,,,,,
798,798,Mark Cox,,,,,,,
799,799,Brad Drewett,,,,,,,
800,800,Trevor Allan,Australia,,left,,,1955-8-17,
801,801,Thomas Setodji,France,183.0,right,,83.0,1995-10-13,820.0
802,802,Lorenzo Fucile,Italy,,right,,,1997-5-13,
803,803,Tommy Haas,Germany,187.0,right,,88.0,1978-4-3,2.0
804,804,Romain Monney,Switzerland,,right,,,1991-4-12,
805,805,Tomas Berdych,Czech Republic,195.0,right,,90.0,1985-9-17,4.0
0,0,Florian Simbozel,France,,right,,,1996-2-16,
1,1,Pedro Munafo,Argentina,,right,,,1992-12-21,1113.0
2,2,Yannis Baltogiannis,Belgium,,right,,,1993-2-5,
3,3,Jake Eames,Australia,183.0,right,,75.0,1991-1-8,695.0
4,4,Joaquin Gonzalez Bosch,Spain,,right,,,1994-4-18,
5,5,Peter Nagy,Hungary,180.0,right,,73.0,1992-3-17,409.0
6,6,Torsten Wietoska,Germany,,right,,,1989-5-7,457.0
7,7,Pol Toledo Bague,Spain,178.0,right,,72.0,1994-12-22,372.0
8,8,Oliver Anderson,Australia,175.0,right,,73.0,1998-4-30,639.0
9,9,Thibault Saive,Belgium,,right,,,1996-7-23,
10,10,Fabian Van Der Lans,Netherlands,,right,,,1995-10-29,1253.0
11,11,Pedro Mol,Netherlands,,right,,,1991-4-5,
12,12,Benjamin Bonzi,France,185.0,right,,76.0,1996-6-9,42.0
13,13,Victor Ouvrard,France,,right,,,1992-5-13,996.0
14,14,Dominik Bartels,Germany,,left,,,1992-12-6,
15,15,Sebastian Rivera,Ecuador,178.0,right,,77.0,1986-9-18,705.0
16,16,Cesar Ferrer-Victoria,Spain,,right,,,1980-10-8,560.0
17,17,Emanuele Molina,Italy,,right,,,1991-7-10,807.0
18,18,Sam De Paepe,Belgium,,right,,,1995-2-20,
19,19,Benjamin Strunk,Germany,,right,,,1992-3-2,
20,20,Thomas Heyse,Belgium,,right,,,1993-4-9,
21,21,Samuel Bensoussan,France,170.0,right,,68.0,1991-11-18,405.0
22,22,Omar Salman,Belgium,180.0,right,,74.0,1996-4-22,464.0
23,23,Germain Gigounon,Belgium,178.0,right,,73.0,1989-4-20,185.0
24,24,Gustavo Guerses,Brazil,178.0,right,,73.0,1990-12-30,744.0
25,25,Christian Hirschmueller,Germany,198.0,right,,87.0,1993-3-11,671.0
26,26,Gerard Platero,Spain,,right,,,1995-8-21,
27,27,Marcelo Zormann,Brazil,180.0,right,,,1996-6-10,467.0
28,28,Thomas Dehaen,Belgium,,right,,,1991-9-16,
29,29,Kevin Farin,Belgium,,right,,,1993-1-18,832.0
30,30,Lucas Zweili,Switzerland,,right,,,1991-4-5,1144.0
31,31,Mischa Nowicki,Germany,183.0,right,,,1991-8-15,1443.0
32,32,Benjamin Devos,Belgium,,right,,,1991-2-6,
33,33,Andrei Daescu,Romania,,right,,,1988-8-28,126.0
34,34,Romain Jouan,France,193.0,right,,77.0,1985-7-16,209.0
35,35,Jordan Paquot,Belgium,,right,,,1992-10-21,
36,36,Julien Sterbelle,Belgium,,right,,,1992-8-7,1409.0
37,37,Arnaud Delgado,France,,right,,,1984-5-18,997.0
38,38,Philip De Vetter,Belgium,,right,,,1991-10-9,
39,39,Marc Garcia-Roman,Spain,,right,,,1989-1-23,984.0
40,40,Roger Ordeig,Spain,,right,,,1991-12-20,
41,41,Abdullah Maqdes,,,,,,,
42,42,Luca Rovetta,Italy,183.0,right,,70.0,1986-9-30,903.0
43,43,Kirill Ivanov-Smolensky,Russia,,right,,,1981-1-19,226.0
44,44,Stephane Piro,France,,left,,,1989-8-12,1117.0
45,45,Keyvan Nematzadeh,Belgium,,right,,,1996-7-11,
46,46,Francisco Olivares,Chile,,right,,,1988-1-4,1049.0
47,47,Lovro Zovko,Croatia,191.0,right,,80.0,1981-3-18,153.0
48,48,Lars Zimmermann,Germany,,right,,,1978-7-22,749.0
49,49,Kevin Anderson,RSA,203.0,right,,94.0,1986-5-18,5.0
50,50,Roger Federer,Switzerland,187.0,right,,85.0,1981-8-8,1.0
51,51,Kim Tiilikainen,Finland,,right,,,1975-7-8,402.0
52,52,Genius Chidzikwe,Zimbabwe,,right,,,1979-8-3,380.0
53,53,Attila Savolt,Hungary,,right,,,1976-2-5,134.0
54,54,Jeroen Claeys,Belgium,,right,,,1991-7-11,
55,55,Oscar Burrieza-Lopez,Spain,170.0,right,,66.0,1975-7-22,140.0
56,56,Gregoire Jacq,France,180.0,left,,72.0,1992-11-9,332.0
57,57,Maxime Braeckman,Belgium,,right,,,1985-4-2,975.0
58,58,Romain Barbosa,Belgium,183.0,right,,80.0,1994-4-17,403.0
59,59,Andre Wiesler,Germany,,right,,,1982-8-1,959.0
60,60,Henrik Sillanpaa,Finland,185.0,right,,78.0,1991-1-24,503.0
