PlayerName,Born,Height,Hand,LinkPlayer,Weight,Birt,Treinador,Rank
Novak Djokovic,"Belgrade, Serbia",188.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/novak-djokovic/d643/player-activity?year=all&matchType=Singles,77.0,1987-05-22,Goran Ivanisevic,1
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,76.0,1993-12-23,Bouhoulle Michel And Tony Bresky,1092
Louis Cant,Belgium,185.0,Right-Handed,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,78.0,1990-11-08,,1025
Philipp Scholz,Germany,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/philipp-scholz/su09/player-activity?year=all&matchType=Singles,78.0,1995-01-24,,841
Thomas Schoorel,"Amsterdam, Netherlands",203.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/thomas-schoorel/sj63/player-activity?year=all&matchType=Singles,78.0,1989-04-08,,94
Rafael Mazon-Hernandez,Spain,185.0,Right-Handed,https://www.atptour.com/en/players/rafael-mazon-hernandez/mi75/player-activity?year=all&matchType=Singles,78.0,1990-09-15,,488
Olaf De Weerdt,Belgium,185.0,Right-Handed,https://www.atptour.com/en/players/olaf-de-weerdt/d809/player-activity?year=all&matchType=Singles,78.0,1987-06-10,,1438
Simon Ede,Australia,185.0,Right-Handed,https://www.atptour.com/en/players/simon-ede/e804/player-activity?year=all&matchType=Singles,78.0,1992-03-13,,1462
Simon Stevens,Belgium,185.0,Right-Handed,https://www.atptour.com/en/players/simon-stevens/sr01/player-activity?year=all&matchType=Singles,78.0,1996-02-02,,1330
Simon Friis Soendergaard,Denmark,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/simon-friis-soendergaard/st99/player-activity?year=all&matchType=Singles,78.0,1996-06-26,,1461
Lofo Ramiaramanana,Toamasina,175.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/lofo-ramiaramanana/r964/player-activity?year=all&matchType=Singles,72.0,1989-06-14,,1107.0
Stieg Martens,Belgium,185.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/stieg-martens/mq72/player-activity?year=all&matchType=Singles,78.0,1996-01-21,,1620
Dominik Schulz,"Munich, Germany",185.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/dominik-schulz/sm14/player-activity?year=all&matchType=Singles,78.0,1992-03-16,Hans-Peter Born,445
Richard Waite,Germany,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/richard-waite/w555/player-activity?year=all&matchType=Singles,78.0,1990-07-31,,799
Sebastian Lavie,New Zealand,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/sebastian-lavie/lb69/player-activity?year=all&matchType=Singles,78.0,1992-03-18,,623
Jannis Liniger,Singapore,191.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jannis-liniger/lb25/player-activity?year=all&matchType=Singles,76.0,1990-01-17,,1245
Joachim Bjerke,"Oslo, Norway",178.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/joachim-bjerke/bm15/player-activity?year=all&matchType=Singles,72.0,1994-11-11,,912
Boris Nicola Bakalov,Muenster,183.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/boris-nicola-bakalov/bf34/player-activity?year=all&matchType=Singles,75.0,1980-11-23,,
Nikita Kryvonos,USA,185.0,Right-Handed,https://www.atptour.com/en/players/nikita-kryvonos/k826/player-activity?year=all&matchType=Singles,78.0,1986-09-01,,508
Lennart Zynga,Germany,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/lennart-zynga/z357/player-activity?year=all&matchType=Singles,78.0,1991-10-21,,895
Moos Sporken,"Haarlem, Netherlands",183.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/moos-sporken/sn86/player-activity?year=all&matchType=Singles,97.0,1994-02-22,Vincent Van Gelder,1224
James Junior Storme,Belgium,185.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/james-junior-storme/sp33/player-activity?year=all&matchType=Singles,78.0,1994-12-13,,722
Jesper Brunstrom,Sweden,185.0,Right-Handed,https://www.atptour.com/en/players/jesper-brunstrom/bf41/player-activity?year=all&matchType=Singles,78.0,1987-02-17,,485
Remy Chala,France,185.0,"Ambidextrous, Two-Handed Backhand",https://www.atptour.com/en/players/remy-chala/ch53/player-activity?year=all&matchType=Singles,78.0,1995-02-06,,909
Kevin Kaczynski,Germany,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/kevin-kaczynski/kd88/player-activity?year=all&matchType=Singles,78.0,1994-04-06,,738
Ivan Gomez Mantilla,Spain,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/ivan-gomez-mantilla/gd39/player-activity?year=all&matchType=Singles,78.0,1992-07-08,,877
Victor Girat Magin,"Paris, France",183.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/victor-girat-magin/ge58/player-activity?year=all&matchType=Singles,82.0,1993-09-28,Mathieu Rodrigues,1219
Eric Fomba,France,185.0,Right-Handed,https://www.atptour.com/en/players/eric-fomba/f905/player-activity?year=all&matchType=Singles,78.0,1995-11-10,,957
Valentin Dimov,Bulgaria,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/valentin-dimov/d852/player-activity?year=all&matchType=Singles,78.0,1989-03-12,,694
Ivo Mijic,Germany,185.0,Right-Handed,https://www.atptour.com/en/players/ivo-mijic/mf54/player-activity?year=all&matchType=Singles,78.0,1990-01-15,,975
Max De Vroome,Netherlands,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/max-de-vroome/dc07/player-activity?year=all&matchType=Singles,78.0,1994-06-01,,1152
Oliver Marach,"Graz, Austria",185.0,"Right-Handed, One-Handed Backhand",https://www.atptour.com/en/players/oliver-marach/m760/player-activity?year=all&matchType=Singles,85.0,1980-07-16,John Farrington,82
Nicolas Devilder,"Dax, France",173.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/nicolas-devilder/d469/player-activity?year=all&matchType=Singles,65.0,1980-03-25,O. Malcor & O. Soules,59
Adam Feeney,"Gosford, Australia",178.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/adam-feeney/f491/player-activity?year=all&matchType=Singles,70.0,1985-03-07,Shane Fox,248
Alex Bogdanovic,"Belgrade, Serbia",183.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/alex-bogdanovic/b929/player-activity?year=all&matchType=Singles,74.0,1984-05-22,Aubrey Barrett,108
Josh Goodall,"Basingstoke, Great Britain",188.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/josh-goodall/g744/player-activity?year=all&matchType=Singles,74.0,1985-10-17,Peter Lundgren,
Ivo Minar,"Prague, Czech Republic",183.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/ivo-minar/ma41/player-activity?year=all&matchType=Singles,85.0,1984-05-21,Karol Dusan,62
Pavol Cervenak,Bratislava,191.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/pavol-cervenak/ca22/player-activity?year=all&matchType=Singles,77.0,1987-07-01,Mark-Kevin Goellner,169
Maximilian Dinslaken,Germany,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/maximilian-dinslaken/da17/player-activity?year=all&matchType=Singles,78.0,1992-06-08,,552
Matheson Klein,Australia,185.0,Right-Handed,https://www.atptour.com/en/players/matheson-klein/ka43/player-activity?year=all&matchType=Singles,78.0,1989-07-12,,693
Arnaud Clement,"Aix-en-Provence, France",173.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/arnaud-clement/c487/player-activity?year=all&matchType=Singles,74.0,1977-12-17,Bruno Clément,10
Olivier Patience,"Evreux, France",180.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/olivier-patience/p488/player-activity?year=all&matchType=Singles,75.0,1980-03-25,Cyril Saulnier,87
Simon Cauvard,France,185.0,Right-Handed,https://www.atptour.com/en/players/simon-cauvard/cb97/player-activity?year=all&matchType=Singles,78.0,1986-10-21,,427
James Lemke,"Melbourne, Australia",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/james-lemke/l900/player-activity?year=all&matchType=Singles,78.0,1988-01-25,,293
Yuri Schukin,"Kislovodsk, Russia",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/yuri-schukin/s809/player-activity?year=all&matchType=Singles,88.0,1979-06-26,Vadim Borisov,119
Stephane Bohli,"Geneva, Switzerland",185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/stephane-bohli/b752/player-activity?year=all&matchType=Singles,82.0,1983-07-25,Anthony Dupuis,113
Andis Juska,Latvia,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/andis-juska/j259/player-activity?year=all&matchType=Singles,78.0,1985-05-22,,136
Jamie Baker,"Glasgow, Scotland",183.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jamie-baker/ba53/player-activity?year=all&matchType=Singles,81.0,1986-08-05,Keith Reynolds,186
Julien Demois,France,185.0,Right-Handed,https://www.atptour.com/en/players/julien-demois/db21/player-activity?year=all&matchType=Singles,78.0,1993-11-20,,942
Xavier Malisse,"Kortrijk, Belgium",185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/xavier-malisse/m680/player-activity?year=all&matchType=Singles,83.0,1980-07-19,,19.0
Nikolay Davydenko,"Severodonezk, Ukraine",178.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/nikolay-davydenko/d402/player-activity?year=all&matchType=Singles,72.0,1981-06-02,Eduard Davydenko,3
Robert Coman,Romania,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/robert-coman/cb76/player-activity?year=all&matchType=Singles,78.0,1990-11-02,,860
Dominik Meffert,"Mayen, Germany",196.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/dominik-meffert/m836/player-activity?year=all&matchType=Singles,93.0,1981-04-09,Tomas Behrend,161
Armel Rancezot,France,185.0,Right-Handed,https://www.atptour.com/en/players/armel-rancezot/rc55/player-activity?year=all&matchType=Singles,78.0,1994-06-30,,1519
Steven Moneke,Germany,185.0,Right-Handed,https://www.atptour.com/en/players/steven-moneke/me29/player-activity?year=all&matchType=Singles,78.0,1986-05-27,,331
Tom Hill,Great Britain,185.0,Right-Handed,https://www.atptour.com/en/players/tom-hill/hd75/player-activity?year=all&matchType=Singles,78.0,1995-02-20,,1554
Kim Moellers,Germany,185.0,Right-Handed,https://www.atptour.com/en/players/kim-moellers/mm51/player-activity?year=all&matchType=Singles,78.0,1989-09-25,,1203
