PlayerName,Born,Height,Hand,LinkPlayer,Tournament,Location,Date,Ground,Prize,GameRound,GameRank,Oponent,WL,Score,país
Novak Djokovic,"Belgrade, Serbia",188.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/novak-djokovic/d643/player-activity?year=all&matchType=Singles,BEL vs. SRB WG 1st RD,"Charleroi, Belgium",2013.01.28 - 2013.02.03,Clay,,Round Robin,127,Olivier Rochus,W,63 62 62,Belgium
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,Belgium F3,Belgium,2013.07.01 - 2013.07.07,Clay,"$10,000",Round of 32,716,Julien Cagnina,W,46 63 75,Belgium
Louis Cant,,,,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,Belgium F9,Belgium,2013.08.12 - 2013.08.18,Clay,"$10,000",Quarter-Finals,1947,Remy Chala,W,"60 67,  64",Belgium
Louis Cant,,,,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,Belgium F5,"Nieuwpoort, Belgium",2015.07.06 - 2015.07.12,Clay,"$10,000",Round of 32,1907,Florian Simbozel,W,"36 76,  62",Belgium
Louis Cant,,,,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,Belgium F6,"Knokke, Belgium",2015.07.13 - 2015.07.19,Clay,"$10,000",Round of 32,-,Zizou Bergs,W,61 60,Belgium
Louis Cant,,,,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,Belgium F12,"Ostend, Belgium",2015.08.24 - 2015.08.30,Clay,"$10,000",Round of 32,1703,Lofo Ramiaramanana,W,63 61,Belgium
Louis Cant,,,,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,Belgium F14,"Middelkerke, Belgium",2015.09.07 - 2015.09.13,Clay,"$10,000",Round of 32,1426,Benjamin Dhoe,W,64 62,Belgium
Louis Cant,,,,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,Belgium F14,"Middelkerke, Belgium",2015.09.07 - 2015.09.13,Clay,"$10,000",Round of 16,485,Clement Geens,W,40 (RET),Belgium
Philipp Scholz,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/philipp-scholz/su09/player-activity?year=all&matchType=Singles,Belgium F12,Belgium,2014.08.18 - 2014.08.24,Clay,"$10,000",Round of 32,-,Pedro Munafo,W,"76,  61",Belgium
Thomas Schoorel,"Amsterdam, Netherlands",203.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/thomas-schoorel/sj63/player-activity?year=all&matchType=Singles,Bercuit,"Bercuit, Belgium",2012.07.16 - 2012.07.22,Clay,"�42,500",Round of 32,188,Dusan Lajovic,W,63 64,Belgium
Thomas Schoorel,"Amsterdam, Netherlands",203.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/thomas-schoorel/sj63/player-activity?year=all&matchType=Singles,Bercuit,"Bercuit, Belgium",2012.07.16 - 2012.07.22,Clay,"�42,500",Round of 16,224,Marco Trungelliti,W,63 62,Belgium
Rafael Mazon-Hernandez,,,,https://www.atptour.com/en/players/rafael-mazon-hernandez/mi75/player-activity?year=all&matchType=Singles,Belgium F7,Belgium,2012.08.06 - 2012.08.12,Clay,"$10,000",Round of 32,1377,Lennart Zynga,W,64 64,Belgium
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,Belgium F7,Belgium,2012.08.06 - 2012.08.12,Clay,"$10,000",Round of 32,1902,James Junior Storme,W,63 61,Belgium
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,Belgium F3,Belgium,2013.07.01 - 2013.07.07,Clay,"$10,000",Round of 16,620,Julien Dubail,W,64 46 62,Belgium
Louis Cant,,,,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,Belgium F9,Belgium,2013.08.12 - 2013.08.18,Clay,"$10,000",Round of 32,1741,Clement Geens,W,"63 67,  63",Belgium
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,Belgium F4,Belgium,2013.07.08 - 2013.07.14,Clay,"$10,000",Round of 32,1050,Jonas Merckx,W,64 64,Belgium
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,Belgium F7,Belgium,2013.07.29 - 2013.08.04,Clay,"$10,000",Round of 32,-,Yannis Baltogiannis,W,61 60,Belgium
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,Belgium F7,Belgium,2013.07.29 - 2013.08.04,Clay,"$10,000",Round of 16,710,Alexandre Sidorenko,W,75 36 61,Belgium
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,Belgium F2,Belgium,2014.06.09 - 2014.06.15,Clay,"$15,000",Round of 32,951,Jeroen Vanneste,W,64 62,Belgium
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,Belgium F5,Belgium,2014.06.30 - 2014.07.06,Clay,"$10,000",Round of 32,719,Francois-Arthur Vibert,W,"67,  63 61",Belgium
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,Belgium F6,Belgium,2014.07.07 - 2014.07.13,Clay,"$10,000",Round of 32,836,Jake Eames,W,64 64,Belgium
Romain Bogaerts,Namur,188.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,Belgium F12,Belgium,2014.08.18 - 2014.08.24,Clay,"$10,000",Round of 32,-,Joaquin Gonzalez Bosch,W,61 62,Belgium
Olaf De Weerdt,,,,https://www.atptour.com/en/players/olaf-de-weerdt/d809/player-activity?year=all&matchType=Singles,Belgium F9,Belgium,2011.08.22 - 2011.08.28,Clay,"$10,000",Round of 32,-,Lofo Ramiaramanana,W,63 60,Belgium
Olaf De Weerdt,,,,https://www.atptour.com/en/players/olaf-de-weerdt/d809/player-activity?year=all&matchType=Singles,Belgium F4,Belgium,2012.07.16 - 2012.07.22,Hard,"$10,000",Round of 32,1123,Peter Nagy,W,62 64,Belgium
Olaf De Weerdt,,,,https://www.atptour.com/en/players/olaf-de-weerdt/d809/player-activity?year=all&matchType=Singles,Belgium F10,Belgium,2012.08.27 - 2012.09.02,Clay,"$10,000",Round of 32,-,Christopher Heyman,W,60 63,Belgium
Olaf De Weerdt,,,,https://www.atptour.com/en/players/olaf-de-weerdt/d809/player-activity?year=all&matchType=Singles,Belgium F1,Belgium,2013.06.17 - 2013.06.23,Clay,"$10,000",Round of 32,671,Torsten Wietoska,W,57 40 (RET),Belgium
Louis Cant,,,,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,Belgium F9,Belgium,2013.08.12 - 2013.08.18,Clay,"$10,000",Round of 16,344,Kimmer Coppejans,W,62 75,Belgium
Louis Cant,,,,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,Belgium F11,Belgium,2014.08.11 - 2014.08.17,Clay,"$10,000",Round of 32,751,Julien Dubail,W,"76,  06 64",Belgium
Simon Ede,,,,https://www.atptour.com/en/players/simon-ede/e804/player-activity?year=all&matchType=Singles,Belgium F5,Belgium,2012.07.23 - 2012.07.29,Clay,"$10,000",Round of 32,960,Luis Patino,W,61 75,Belgium
Simon Stevens,,,,https://www.atptour.com/en/players/simon-stevens/sr01/player-activity?year=all&matchType=Singles,Belgium F4,Belgium,2014.06.23 - 2014.06.29,Clay,"$10,000",Round of 32,586,Pol Toledo Bague,W,"76,  21 (RET)",Belgium
Simon Friis Soendergaard,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/simon-friis-soendergaard/st99/player-activity?year=all&matchType=Singles,Belgium F6,"Knokke, Belgium",2015.07.13 - 2015.07.19,Clay,"$10,000",Round of 32,1342,Oliver Anderson,W,63 46 63,Belgium
Simon Friis Soendergaard,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/simon-friis-soendergaard/st99/player-activity?year=all&matchType=Singles,Belgium F7,"Duinbergen, Belgium",2015.07.20 - 2015.07.26,Clay,"$10,000",Round of 32,1751,Olaf De Weerdt,W,61 61,Belgium
Lofo Ramiaramanana,Toamasina,175.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/lofo-ramiaramanana/r964/player-activity?year=all&matchType=Singles,Belgium F12,Belgium,2014.08.18 - 2014.08.24,Clay,"$10,000",Round of 32,-,Thibault Saive,W,36 61 76,Belgium
Stieg Martens,,,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/stieg-martens/mq72/player-activity?year=all&matchType=Singles,Belgium F9,Belgium,2014.07.28 - 2014.08.03,Clay,"$10,000",Round of 32,1140,Fabian Van Der Lans,W,62 76,Belgium
