,Unnamed: 0,PlayerName,Born,Height,Hand,LinkPlayer,Weight,Birt,Treinador,Rank
0,0,Novak Djokovic,"Belgrade, Serbia",(188cm),"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/novak-djokovic/d643/player-activity?year=all&matchType=Singles,(77kg),(1987.05.22),Goran Ivanisevic,1
1,1,Romain Bogaerts,Namur,(188cm),"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/romain-bogaerts/bk85/player-activity?year=all&matchType=Singles,(76kg),(1993.12.23),Bouhoulle Michel And Tony Bresky,1092
2,2,Louis Cant,,,right,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,,(1990.11.08),,1025
3,3,Philipp Scholz,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/philipp-scholz/su09/player-activity?year=all&matchType=Singles,,(1995.01.24),,841
4,4,Thomas Schoorel,"Amsterdam, Netherlands",(203cm),"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/thomas-schoorel/sj63/player-activity?year=all&matchType=Singles,,(1989.04.08),,94
5,5,Rafael Mazon-Hernandez,,,right,https://www.atptour.com/en/players/rafael-mazon-hernandez/mi75/player-activity?year=all&matchType=Singles,,(1990.09.15),,488
6,6,Olaf De Weerdt,,,right,https://www.atptour.com/en/players/olaf-de-weerdt/d809/player-activity?year=all&matchType=Singles,,(1987.06.10),,1438
7,7,Simon Ede,,,right,https://www.atptour.com/en/players/simon-ede/e804/player-activity?year=all&matchType=Singles,,(1992.03.13),,1462
8,8,Simon Stevens,,,right,https://www.atptour.com/en/players/simon-stevens/sr01/player-activity?year=all&matchType=Singles,,(1996.02.02),,1330
9,9,Simon Friis Soendergaard,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/simon-friis-soendergaard/st99/player-activity?year=all&matchType=Singles,,(1996.06.26),,1461
10,10,Lofo Ramiaramanana,Toamasina,(175cm),"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/lofo-ramiaramanana/r964/player-activity?year=all&matchType=Singles,(72kg),(1989.06.14),,
11,11,Stieg Martens,,,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/stieg-martens/mq72/player-activity?year=all&matchType=Singles,,(1996.01.21),,1620
12,12,Dominik Schulz,"Munich, Germany",,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/dominik-schulz/sm14/player-activity?year=all&matchType=Singles,,(1992.03.16),Hans-Peter Born,445
13,13,Richard Waite,,,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/richard-waite/w555/player-activity?year=all&matchType=Singles,,(1990.07.31),,799
14,14,Sebastian Lavie,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/sebastian-lavie/lb69/player-activity?year=all&matchType=Singles,,(1992.03.18),,623
15,15,Jannis Liniger,Singapore,(191cm),"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/jannis-liniger/lb25/player-activity?year=all&matchType=Singles,(76kg),(1990.01.17),,1245
16,16,Joachim Bjerke,"Oslo, Norway",(178cm),"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/joachim-bjerke/bm15/player-activity?year=all&matchType=Singles,(72kg),(1994.11.11),,912
17,17,Boris Nicola Bakalov,Muenster,(183cm),"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/boris-nicola-bakalov/bf34/player-activity?year=all&matchType=Singles,(75kg),(1980.11.23),,
18,18,Nikita Kryvonos,,,right,https://www.atptour.com/en/players/nikita-kryvonos/k826/player-activity?year=all&matchType=Singles,,(1986.09.01),,508
19,19,Lennart Zynga,,,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/lennart-zynga/z357/player-activity?year=all&matchType=Singles,,(1991.10.21),,895
20,20,Moos Sporken,"Haarlem, Netherlands",(183cm),"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/moos-sporken/sn86/player-activity?year=all&matchType=Singles,(97kg),(1994.02.22),Vincent Van Gelder,1224
21,21,James Junior Storme,,,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/james-junior-storme/sp33/player-activity?year=all&matchType=Singles,,(1994.12.13),,722
22,22,Jesper Brunstrom,,,right,https://www.atptour.com/en/players/jesper-brunstrom/bf41/player-activity?year=all&matchType=Singles,,(1987.02.17),,485
