,PlayerName,Born,Height,Hand,LinkPlayer,Weight,Birt,Treinador,Rank
0,Louis Cant,Belgium,185.0,Right-Handed,https://www.atptour.com/en/players/louis-cant/cd88/player-activity?year=all&matchType=Singles,78.0,1990-11-08,,1025
1,Philipp Scholz,Germany,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/philipp-scholz/su09/player-activity?year=all&matchType=Singles,78.0,1995-01-24,,841
2,Rafael Mazon-Hernandez,Spain,185.0,Right-Handed,https://www.atptour.com/en/players/rafael-mazon-hernandez/mi75/player-activity?year=all&matchType=Singles,78.0,1990-09-15,,488
3,Olaf De Weerdt,Belgium,185.0,Right-Handed,https://www.atptour.com/en/players/olaf-de-weerdt/d809/player-activity?year=all&matchType=Singles,78.0,1987-06-10,,1438
4,Simon Ede,Australia,185.0,Right-Handed,https://www.atptour.com/en/players/simon-ede/e804/player-activity?year=all&matchType=Singles,78.0,1992-03-13,,1462
5,Simon Stevens,Belgium,185.0,Right-Handed,https://www.atptour.com/en/players/simon-stevens/sr01/player-activity?year=all&matchType=Singles,78.0,1996-02-02,,1330
6,Simon Friis Soendergaard,Denmark,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/simon-friis-soendergaard/st99/player-activity?year=all&matchType=Singles,78.0,1996-06-26,,1461
7,Lofo Ramiaramanana,Madagascar,175.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/lofo-ramiaramanana/r964/player-activity?year=all&matchType=Singles,72.0,1989-06-14,,1107
8,Stieg Martens,Belgium,185.0,"Left-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/stieg-martens/mq72/player-activity?year=all&matchType=Singles,78.0,1996-01-21,,1620
9,Richard Waite,Germany,185.0,"Right-Handed, Unknown Backhand",https://www.atptour.com/en/players/richard-waite/w555/player-activity?year=all&matchType=Singles,78.0,1990-07-31,,799
10,Sebastian Lavie,New Zealand,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/sebastian-lavie/lb69/player-activity?year=all&matchType=Singles,78.0,1992-03-18,,623
11,Boris Nicola Bakalov,,183.0,"Left-Handed, One-Handed Backhand",https://www.atptour.com/en/players/boris-nicola-bakalov/bf34/player-activity?year=all&matchType=Singles,75.0,1980-11-23,,
12,Nikita Kryvonos,USA,185.0,Right-Handed,https://www.atptour.com/en/players/nikita-kryvonos/k826/player-activity?year=all&matchType=Singles,78.0,1986-09-01,,508
13,Lennart Zynga,Germany,185.0,"Right-Handed, Two-Handed Backhand",https://www.atptour.com/en/players/lennart-zynga/z357/player-activity?year=all&matchType=Singles,78.0,1991-10-21,,895
14,James Junior Storme,Belgium,185.0,"Left-Handed, Unknown Backhand",https://www.atptour.com/en/players/james-junior-storme/sp33/player-activity?year=all&matchType=Singles,78.0,1994-12-13,,722
15,Jesper Brunstrom,Sweden,185.0,Right-Handed,https://www.atptour.com/en/players/jesper-brunstrom/bf41/player-activity?year=all&matchType=Singles,78.0,1987-02-17,,485
16,Remy Chala,France,185.0,"Ambidextrous, Two-Handed Backhand",https://www.atptour.com/en/players/remy-chala/ch53/player-activity?year=all&matchType=Singles,78.0,1995-02-06,,909
